790.33,536.32,7.38,76.31,2.58,10.22,3.79,1.0,>=10 Minutes
651.91,720.04,6.25,76.67,-0.009999999999999787,9.73,3.65,1.0,<10 Minutes
168.5,639.87,11.59,92.66,0.0,13.43,4.37,1.0,<10 Minutes
612.02,594.61,3.85,70.05,0.2400000000000002,7.81,3.36,0.8,>=10 Minutes
312.3,319.58,23.95,0.07,11.91,7.36,6.44,0.8,>=10 Minutes
439.11,598.39,4.98,69.78,0.05000000000000071,8.37,3.49,0.8,<10 Minutes
719.49,595.35,5.34,68.95,0.10999999999999943,8.08,3.54,0.8,<10 Minutes
611.74,396.07,5.12,68.81,0.0,8.09,3.51,0.8,<10 Minutes
608.75,751.27,6.95,70.24,1.8200000000000003,8.75,3.74,0.8,>=10 Minutes
615.51,597.97,7.32,67.75,-0.0699999999999994,8.75,3.79,0.8,<10 Minutes
618.76,606.57,7.69,76.14,-0.08999999999999986,9.26,3.83,0.8,<10 Minutes
500.34,395.76,4.19,70.06,-3.2299999999999995,7.96,3.4,0.8,>=10 Minutes
708.69,1019.41,15.19,39.84,0.0,9.13,4.92,0.8,<10 Minutes
705.19,1018.13,13.81,66.04,-0.07000000000000028,9.8,4.7,0.8,<10 Minutes
705.19,1018.13,13.81,66.04,-0.07000000000000028,9.8,4.7,0.8,<10 Minutes
717.13,865.93,14.43,78.99,-0.16999999999999993,11.38,4.8,0.8,<10 Minutes
708.69,1019.41,15.19,39.84,0.0,9.13,4.92,0.8,<10 Minutes
258.53,340.88,25.06,0.07,8.309999999999999,7.25,6.66,0.8,>=10 Minutes
505.63,302.84,2.27,67.24,-0.54,7.95,3.18,0.8,<10 Minutes
210.48,702.34,14.23,77.98,3.130000000000001,12.77,4.77,0.8,>=10 Minutes
712.66,212.08,8.63,68.07,-2.01,9.81,3.96,0.8,>=10 Minutes
577.43,643.09,9.6,63.93,-0.4800000000000004,9.17,4.09,0.8,<10 Minutes
581.29,643.0,8.53,79.61,-0.02000000000000135,9.66,3.95,0.8,<10 Minutes
800.87,740.41,9.14,71.47,-0.11999999999999922,9.65,4.03,0.8,<10 Minutes
628.0,352.88,8.48,69.15,-0.5599999999999987,9.77,3.94,0.8,>=10 Minutes
574.17,640.93,11.24,36.57,-0.2400000000000002,8.33,4.32,0.8,<10 Minutes
215.76,412.52,11.18,73.44,0.16999999999999993,11.46,4.31,0.8,<10 Minutes
213.05,411.23,10.25,78.31,0.05000000000000071,11.18,4.18,0.8,<10 Minutes
215.39,410.82,10.35,82.79,-0.019999999999999574,11.47,4.19,0.8,<10 Minutes
296.43,333.46,8.39,74.46,0.2900000000000009,10.97,3.93,0.8,>=10 Minutes
356.12,174.24,7.72,82.57,-0.9799999999999995,10.34,3.84,0.8,<10 Minutes
360.24,171.04,7.63,73.35,0.08000000000000007,10.69,3.83,0.8,<10 Minutes
509.93,506.43,6.27,73.23,0.03999999999999915,8.79,3.65,0.8,<10 Minutes
749.88,502.62,6.67,74.11,0.05999999999999961,8.72,3.7,0.8,<10 Minutes
259.53,515.56,7.59,79.25,0.5800000000000001,10.39,3.82,0.8,<10 Minutes
516.05,748.91,9.01,78.22,0.27999999999999936,9.84,4.01,0.8,<10 Minutes
526.75,249.7,5.43,74.79,-2.84,9.17,3.55,0.8,<10 Minutes
520.3,524.21,8.87,82.36,2.5299999999999994,10.08,3.99,0.8,>=10 Minutes
520.19,522.86,9.33,72.01,0.15000000000000036,9.99,4.05,0.8,<10 Minutes
204.79,318.54,6.17,64.79,0.07000000000000028,9.21,3.64,0.8,<10 Minutes
375.38,329.03,6.42,64.09,0.0,8.6,3.67,0.8,<10 Minutes
384.66,205.03,4.61,63.33,-1.3599999999999994,8.48,3.45,0.8,>=10 Minutes
169.18,222.75,3.53,78.75,0.1599999999999997,9.84,3.32,0.8,<10 Minutes
506.54,511.47,3.83,71.19,-0.020000000000000018,8.14,3.36,0.8,<10 Minutes
513.54,300.91,3.71,71.26,-0.020000000000000018,8.16,3.34,0.8,<10 Minutes
709.99,506.75,4.09,71.38,1.15,8.16,3.39,0.8,<10 Minutes
300.14,521.23,4.99,74.47,0.29000000000000004,9.08,3.49,0.8,<10 Minutes
501.27,508.41,6.41,58.78,0.7300000000000004,8.55,3.67,0.8,<10 Minutes
158.2,356.02,10.72,90.79,-0.629999999999999,12.0,4.25,0.8,<10 Minutes
176.59,164.45,11.41,34.41,0.33000000000000007,8.22,4.34,0.8,<10 Minutes
589.38,162.32,10.47,35.01,-0.33000000000000007,7.9,4.21,0.8,<10 Minutes
296.96,351.6,10.45,86.31,-0.07000000000000028,11.23,4.21,0.8,<10 Minutes
298.42,511.41,10.68,87.12,0.02999999999999936,11.38,4.24,0.8,<10 Minutes
302.09,511.83,12.14,66.66,0.16999999999999993,11.18,4.45,0.8,<10 Minutes
307.43,263.79,12.27,65.77,0.0,10.9,4.47,0.8,<10 Minutes
169.59,334.85,9.84,88.04,0.0,12.04,4.12,0.8,<10 Minutes
244.83,361.27,12.25,74.71,-0.13000000000000078,11.74,4.47,0.8,<10 Minutes
167.54,332.79,9.01,79.74,-0.07000000000000028,11.22,4.01,0.8,<10 Minutes
308.92,361.56,12.2,73.59,-0.08000000000000007,11.38,4.46,0.8,>=10 Minutes
249.65,414.25,10.75,83.5,0.02999999999999936,11.53,4.25,0.8,<10 Minutes
304.81,436.3,12.95,78.35,-0.010000000000001563,11.76,4.57,0.8,<10 Minutes
249.82,411.19,11.39,81.78,0.02000000000000135,11.69,4.34,0.8,<10 Minutes
252.54,416.1,11.76,89.16,0.0,12.01,4.39,0.8,<10 Minutes
409.2,402.35,3.25,75.18,-0.020000000000000018,8.18,3.29,0.8,<10 Minutes
254.87,343.98,6.25,71.44,-0.040000000000000036,9.35,3.65,0.8,<10 Minutes
317.24,351.68,5.98,71.67,-0.08999999999999986,8.85,3.62,0.8,<10 Minutes
402.39,347.19,5.84,70.79,-0.03000000000000025,8.61,3.6,0.8,<10 Minutes
395.25,421.53,6.05,70.91,0.009999999999999787,8.62,3.63,0.8,<10 Minutes
398.94,451.34,6.5,70.27,0.08000000000000007,8.78,3.68,0.8,<10 Minutes
403.38,346.08,6.22,70.22,-0.07000000000000028,8.64,3.65,0.8,<10 Minutes
401.01,347.18,6.12,66.96,0.0,8.66,3.63,0.8,<10 Minutes
175.0,351.28,6.35,72.85,-0.07000000000000028,10.04,3.66,0.8,<10 Minutes
173.36,339.04,7.34,74.96,-1.1300000000000008,10.0,3.79,0.8,<10 Minutes
159.38,335.12,7.28,72.55,0.0,10.6,3.78,0.8,<10 Minutes
159.34,333.96,6.96,79.86,0.07000000000000028,10.77,3.74,0.8,<10 Minutes
305.41,333.59,6.42,72.55,-0.54,9.07,3.67,0.8,<10 Minutes
395.67,331.03,6.2,71.14,0.009999999999999787,8.71,3.64,0.8,<10 Minutes
160.41,433.95,6.11,75.9,0.0,10.25,3.63,0.8,<10 Minutes
28.94,30.39,14.24,97.36,-0.049999999999998934,12.32,4.77,0.7,<10 Minutes
173.24,370.22,13.11,89.56,0.16999999999999993,12.58,4.59,0.7,>=10 Minutes
11.12,20.15,8.72,81.42,-2.75,10.53,3.97,0.7,>=10 Minutes
158.7,324.01,9.51,87.85,-2.0,10.76,4.08,0.7,>=10 Minutes
19.7,40.01,12.58,95.35,0.019999999999999574,12.06,4.52,0.7,<10 Minutes
169.17,325.06,10.55,89.26,0.0,11.84,4.22,0.7,<10 Minutes
20.05,40.56,19.37,52.15,2.16,11.82,5.61,0.7,>=10 Minutes
223.62,326.5,10.83,85.22,-0.08000000000000007,11.49,4.26,0.7,<10 Minutes
333.6,674.39,19.82,51.39,0.0,11.95,5.69,0.7,<10 Minutes
172.19,428.92,11.7,86.78,-0.02000000000000135,12.35,4.39,0.7,<10 Minutes
169.67,675.09,20.79,55.1,-0.010000000000001563,13.21,5.86,0.7,<10 Minutes
382.5,1032.32,17.03,71.38,-0.7999999999999972,10.59,5.21,0.66,<10 Minutes
153.75,350.8,10.73,59.98,0.040000000000000924,10.4,4.25,0.66,<10 Minutes
148.67,354.58,10.53,75.1,0.02999999999999936,11.29,4.22,0.66,<10 Minutes
158.54,503.82,11.98,80.95,0.009999999999999787,12.0,4.43,0.66,<10 Minutes
351.86,504.96,12.27,78.38,0.049999999999998934,10.77,4.47,0.66,<10 Minutes
144.06,343.64,12.77,95.65,-0.15000000000000036,12.26,4.54,0.66,<10 Minutes
507.01,699.06,14.26,91.74,-0.009999999999999787,11.3,4.77,0.66,<10 Minutes
162.5,299.02,13.48,88.18,0.019999999999999574,12.18,4.65,0.66,<10 Minutes
378.07,289.58,14.5,82.29,-0.02999999999999936,11.92,4.81,0.66,<10 Minutes
184.67,393.37,15.68,82.69,0.5600000000000005,13.23,4.99,0.66,<10 Minutes
674.36,280.81,8.85,54.52,-0.05000000000000071,8.19,3.99,0.66,<10 Minutes
200.15,309.71,10.01,64.24,0.08999999999999986,9.74,4.15,0.66,<10 Minutes
611.04,281.29,12.16,65.47,-0.5299999999999994,9.8,4.45,0.66,<10 Minutes
574.13,557.14,14.01,67.41,0.08999999999999986,10.27,4.73,0.66,<10 Minutes
178.38,692.71,18.03,83.67,-0.2099999999999973,13.25,5.38,0.66,<10 Minutes
53.31,232.49,7.0,87.03,-0.5099999999999998,11.92,3.74,0.66,>=10 Minutes
